Epoca: 233 | Loss: 0.6171 | Accuracy: 85.51%
Epoca: 234 | Loss: 0.6162 | Accuracy: 85.31%
Epoca: 235 | Loss: 0.6153 | Accuracy: 85.31%
Epoca: 236 | Loss: 0.6144 | Accuracy: 85.31%
Epoca: 237 | Loss: 0.6135 | Accuracy: 85.31%
Epoca: 238 | Loss: 0.6126 | Accuracy: 85.51%
Epoca: 239 | Loss: 0.6116 | Accuracy: 85.51%
Epoca: 240 | Loss: 0.6107 | Accuracy: 85.51%
Epoca: 241 | Loss: 0.6098 | Accuracy: 85.51%
Epoca: 242 | Loss: 0.6088 | Accuracy: 85.51%
Epoca: 243 | Loss: 0.6079 | Accuracy: 85.51%
Epoca: 244 | Loss: 0.6070 | Accuracy: 85.51%
Epoca: 245 | Loss: 0.6060 | Accuracy: 85.51%
Epoca: 246 | Loss: 0.6051 | Accuracy: 85.51%
Epoca: 247 | Loss: 0.6041 | Accuracy: 85.51%
Epoca: 248 | Loss: 0.6031 | Accuracy: 85.71%
Epoca: 249 | Loss: 0.6022 | Accuracy: 85.71%
Epoca: 250 | Loss: 0.6012 | Accuracy: 85.51%
Epoca: 251 | Loss: 0.6002 | Accuracy: 85.51%
Epoca: 252 | Loss: 0.5992 | Accuracy: 85.51%
Epoca: 253 | Loss: 0.5982 | Accuracy: 85.51%
Epoca: 254 | Loss: 0.5972 | Accuracy: 85.51%
Epoca: 255 | Loss: 0.5962 | Accuracy: 85.51%
Epoca: 256 | Loss: 0.5952 | Accuracy: 85.71%
Epoca: 257 | Loss: 0.5942 | Accuracy: 85.92%
Epoca: 258 | Loss: 0.5932 | Accuracy: 86.12%
Epoca: 259 | Loss: 0.5921 | Accuracy: 86.12%
Epoca: 260 | Loss: 0.5911 | Accuracy: 86.12%
Epoca: 261 | Loss: 0.5901 | Accuracy: 86.12%
Epoca: 262 | Loss: 0.5890 | Accuracy: 86.12%
Epoca: 263 | Loss: 0.5880 | Accuracy: 86.12%
Epoca: 264 | Loss: 0.5870 | Accuracy: 86.33%
Epoca: 265 | Loss: 0.5859 | Accuracy: 86.53%
